Name,Type,Ingredients,Price
GLOW RECIPE,Face Masks,"-Watermelon Extract: Hydrates, delivers essential vitamins, and contains anti-inflammatory properties to soothe irritation.
-Hyaluronic Acid: Hydrates skin by holding up to 1,000 times its weight in moisture.
-Antioxidants: Help protect skin against envir",$45.00 
HERBIVORE,Face Masks,"-White Willow Bark Extract: Unclogs pores with a natural BHA and high levels of salicylic acid.
-Fruit Enzymes: Helps eliminate dead skin cells for smooth and soft skin; natural AHA.
-Blue Tansy Oil: Soothes redness and calms irritated skin.
-Aloe Leaf: H",$48.00 
DR. JART+,Face Masks,"-Aquaxyl: Derived from plant glucose; replenishes and protects vital moisture in your skin.
-Xylitol: Hydrates and strengthens skin barrier by preventing water loss.
-Oligo-hyaluronic Acid: Supports long-lasting moisturization.
-Algae Extract: Supports na",$6.00 
SEPHORA COLLECTION,Face Masks,"-Watermelon: Nurtures skin.

Aqua (Water), Glycerin, Kaolin, Propylene Glycol, Sodium Stearate, CI 77891 (Titanium Dioxide), CI 77491 (Iron Oxides), Parfum (Fragrance), Sodium Citrate, Xanthan Gum, Disteardimonium Hectorite, Gellan Gum, Phenoxyethanol, St",$8.00 
SK-II,Face Masks,"-Pitera: A blend of vitamins, amino acids, minerals, and organic acids that work together to allow the skin’s natural surface rejuvenation process to function at its prime, enhancing the renewal of the skin’s outer layer.  

Water, Saccharomycopsis Fe",$139.00 
ORIGINS,Face Masks,"Water, Myrtus Communis (Myrtle) Leaf Water, Kaolin, Bentonite, Butylene Glycol, Montmorillonite, Polysorbate 20, Peg-100 Stearate, Charcoal Powder, Xanthan Gum, Lecithin, Peg-150 Distearate, Propylene Glycol Stearate, Sorbitan Laurate, Glycerin, Propylene Glycol Laurate, Simethicone, Caprylyl Glycol, Ethylhexylglycerin, Hexylene Glycol, Trisodium Edta, Dehydroacetic Acid, Phenoxyethanol.

Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up-to-date list of ingredients.

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats , Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles As defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",$26.00 
INNISFREE,Face Masks,"-Jeju Volcanic Clusters™: Finely ground hardened volcanic lava that helps absorb excess sebum.
-Lactic Acid: Helps exfoliate dead skin cells and minimize appearance of pores.

Water / Aqua / Eau, Titanium Dioxide (Ci 77891),Butylene Glycol, Silica, Glyc",$15.00 
DRUNK ELEPHANT,Face Masks,"-4-Electrolyte Blend: Antioxidant-rich and powerful humectant ingredients (coconut water, sodium PCA, magnesium PCA, and prickly pear extract), electrolytes are vital to helping maintain hydration levels in skin, improving barrier strength and lipid conte",$52.00 
FRESH,Face Masks,"-Pure Rosewater: Soothes and tones.
-Cucumber Extract and Aloe Vera Gel: Help soothe the skin and have an immediate cooling and calming effect.
-Porphyridium Cruentum: A ""smart"" algae, it delivers optimum moisture.

Water, Butylene Glycol, Glycerin, Penty",$62.00 
LANEIGE,Face Masks,"-Fermented Forest Yeast Extract: Provides more skin strengthening benefits than traditional Cica products with madecassosides.

Water / Aqua / Eau, Propanediol, Cetyl Ethylhexanoate, Squalane, Hydrogenated Poly(C6-14 Olefin), Glycerin, Panthenol, Cetearyl",$34.00 
PETER THOMAS ROTH,Face Masks,"-Sulfur 10%: Maximum, over-the-counter grade visibly clears skin and helps address future blemishes and blackheads.
-Kaolin and Bentonite Clays: Absorb excess oil and purify the look of clogged pores.
-Aloe Vera: Calms and hydrates skin.

Water/Aqua/Eau, ",$52.00 
FARMACY,Face Masks,"Glycerin, Diglycerin, Polyglyceryl-10 Stearate, Echinacea Purpurea Root Extract, Honey Extract, Propolis Extract, Royal Jelly Extract, Panthenol, Vanillyl Butyl Ether, Allantoin, Zingiber Officinale (Ginger) Root Extract, Aroma (Flavor)*, Hippophae Rhamnoides Oil, Phenoxyethanol, Water. *Natural Flavor.

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats , Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles As defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",$56.00 
KIEHL'S SINCE 1851,Face Masks,"-Turmeric: Known for its antioxidant and anti-redness properties.
-Cranberry: Exfoliates and provides antioxidants, leaving skin feeling renewed and looking energized and radiant.

Water, Kaolin, Sorbitol, Bentonite, Butylene Glycol, Silica, CI 77891/Tita",$45.00 
TATCHA,Face Masks,"-Japanese Beautyberry: Helps protect vitamin C from degradation caused by UV assault, to support youthful radiance and is rich in polyphenols and antioxidants.
-Mild Fruit AHA (Derived fromApple, Grapefruit, Orange, Lemon, Lime, Hawthorn, and Jujube): Sup",$68.00 
TATCHA,Face Masks,"-Rice germ oil: Absorbs effortlessly to nourish, soothe, and moisturize without leaving skin greasy. A natural source of vitamin E, polyphenols, and squalene.
-Okinawa Red Algae: Captures water to replenish the natural moisture reservoir and increases the",$12.00 
SUMMER FRIDAYS,Face Masks,"-Pumpkin: Packed with fruit enzymes, vitamin A, and vitamin C to smooth and brighten skin.
-Apricot Seed Powder: Natural gentle exfoliating powder that removes dead skin cells and helps circulate blood flow to skin.
-Beta Carotene: Supports natural cell t",$44.00 
LANEIGE,Face Masks,"-Hyaluronic Acid: Imparts hydration for a softer, more plumped look.

Water, Butylene Glycol, Cyclopentasiloxane, Glycerin, Cyclohexasiloxane, Trehalose, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Polysorbate 20, Phenoxyethanol, Dimethicone, Polyacryl",$25.00 
SEPHORA COLLECTION,Face Masks,"-Watermelon Extract of Natural Origin: Cools, refreshes, and hydrates skin.

Water, Glycerin, Dipropylene Glycol, Methylpropanediol, Glycereth-26, Dipotassium Glycyrrhizate, PEG/PPG-17/6 Copolymer, Saccharide Isomerate, Hydroxyethyl Urea, PEG-32, 1,2-Hexa",$5.00 
OLEHENRIKSEN,Face Masks,"-Polyhydroxy Acids (PHAs): A gentler alternative to AHAs that help even skin tone and texture through chemical exfoliation.
-Nordic Birch Sap: Helps hydrate and nourish skin.
-Pink Bentonite Clay: Helps clarify and renew.

Water, Glycerin, Kaolin, Glucono",$50.00 
FRESH,Face Masks,"-Umbrian Clay: Works to help balance, purify, and clarify the complexion’s appearance.
-Sandalwood Oil: Known for its astringent properties and helps to calm the skin.
-Chamomile Flower and Lavender Water: Notable for their soothing properties.

Solum F",$58.00 
SEPHORA COLLECTION,Face Masks,"-Green Tea Extract of Natural Origin: Protects skin against environmental pollutants.

Water, Butylene Glycol, Glycerin, Betaine, 1,2-Hexanediol, Hydroxyacetophenone, Xanthan Gum, Lecithin, Salix Alba (Willow) Bark Extract, Kaolin, Parfum (Fragrance), Phe",$6.00 
GOOP,Face Masks,"-Micro-exfoliating Minerals (Quartz, Garnet, Alumina, Silica): Instantly polish and buff deal, dull, dry skin.
-Glycolic Acid (AHA): The gold standard in chemical exfoliation to remove dead skin and support natural cell turnover.
-Australian Kakadu Plum: ",$125.00 
CLARINS,Face Masks,"-Beautyberry, Zerumbet Ginger and Horse Chestnut Escin Extracts: Help visibly minimize facial puffiness.
-White Clay: Mattifies and refines the complexion.
-Alchemilla Extract: Provides the appearance of radiance.

Water, Glycerin, Kaolin, Alcohol, Cetear",$61.00 
DR. JART+,Face Masks,"-Hyaluronic Acid: Attracts moisture to skin.
-Kelp Extract: Supports moisture retention.
-Algae and Clay: Act as a cooling rubber mask.

Step 1 Dr.Jart Hyaluronic Acid 1000 ppm Ampoule:
Water/Eau, Dipropylene Glycol, Glycerin, Caprylic/Capric Triglyceride",$14.00 
SEPHORA COLLECTION,Face Masks,"-Watermelon: Retexturizes and rich in lycopene.
-Mango: Plump the look of skin and hydrates.
-Kiwi Extract: Rich in enzymes and antioxidants.
-Glycolic Acid: Exfoliates and hydrates.

Water (Aqua), Glycerin, Polyglyceryl-3 Laurate, Phenoxyethanol, Xanthan",$8.00 
BIOSSANCE,Face Masks,"-Bilberry, Sugar Cane, and Sugar Maple Extracts: Naturally-derived AHAs.
-Glycolic, Lactic, Tartaric, Malic Acids (AHA): AHAs that help Helps shed dead skin cells, support natural cell turnover and refine the skin's surface.
-Squalane: Hydrates while lock",$68.00 
GLAMGLOW,Face Masks,"Water, Polyvinyl Alcohol, Alcohol Denat., Butylene Glycol, Glycerin, Ethylhexyl Hydroxystearate, Hamamelis Virginiana (Witch Hazel) Water, Montmorillonite, Pentylene Glycol, Illite, Polysorbate 20, Canadian Colloidal Clay, Caprylyl Glycol, Althaea Officinalis Leaf Extract, Tapioca Starch, Chondrus Crispus (Carrageenan), Colloidal Platinum, Dipotassium Glycyrrhizate, Alcohol, Ascophyllum Nodosum Powder, Polysorbate 80, Polymethylsilsesquioxane, Hydroxypropyl Methylcellulose, Citric Acid, Lecithin, Pullulan, Porphyridium Cruentum Extract, Soy Isoflavones, Sodium Hyaluronate, Xanthan Gum, Fragrance, Coumarin, Disodium Edta, Phenoxyethanol, Sorbic Acid, Potassium Sorbate, Bismuth Oxychloride (Ci 77163)",$59.00 
FRESH,Face Masks,"-Proprietary Complex of Black Tea Ferment, Black Tea Extract, Blackberry Leaf Extract, and Lychee Seed Extract: Addresses damaging free radicals and helps to support natural skin elasticity.
-Belle De Nuit Extract: Helps to soothe the skin.
-Peptides: Fir",$92.00 
SEPHORA COLLECTION,Face Masks,"-Peppermint Extract from Natural Origin: Tones skin, leaving it feeling firmer and plumped up.

Water, Fructose, PVP, Ethylhexyl Stearate, Glycerin, CI 77891 (Titanium Dioxide), Xanthan Gum, Polyacrylamide, Phenoxyethanol, C13-14 Isoparaffin, Menthyl Lact",$8.00 
GLOW RECIPE,Face Masks,"-Watermelon Extract: Hydrates, delivers essential vitamins, and contains anti-inflammatory properties to soothe irritation.
-Hyaluronic Acid: Hydrates skin by holding up to 1,000 times its weight in moisture.
- AHA: A blend of lactic acid (derived from pl",$22.00 
ORIGINS,Face Masks,"-Bamboo Charcoal: Acts like a natural magnet for skin to draw out deep-dwelling dirt and impurities.
-Wildflower and Fermented Honey: Help nourish skin.

Water, Butylene Glycol, Bentonite, Montmorillonite, Honey, Polysorbate 20, PEG-100 Stearate, Polybute",$34.00 
SUNDAY RILEY,Face Masks,"-Sulfur 10%: Dries and clears up acne, while preventing new blemishes and blackheads from forming; fights multiple forms of acne including hormonal breakouts, acne rosacea, and inflammatory acne.
-Niacinamide 4%: Reduces the appearance of acne and rosacea",$55.00 
SEPHORA COLLECTION,Face Masks,"-Aloe Vera Extract of natural origin: Helps skin stay well hydrated.

Water, Butylene Glycol, Aloe Barbadensis Leaf Juice, Glycerin, Betaine, 1,2-Hexanediol, Hydroxyacetophenone, Saccharide Isomerate, Xanthan Gum, Parfum (Fragrance), Aloe Barbadensis Leaf",$6.00 
PETER THOMAS ROTH,Face Masks,"-Pumpkin Enzyme: Helps smooth the skin's surface while providing a delicious, indulgent natural fragrance.
-Alpha Hydroxy Acid (AHA): Chemically exfoliates to help reveal a fresher, more youthful and radiant appearance.
-Aluminum Oxide Crystals: Provide e",$60.00 
FRESH,Face Masks,"-Damask Rose Extract: Hydrates, smooths, and supports the skin’s natural moisture barrier.
-Advanced Time-Release Technology: Creates a tight-knit web on skin’s surface to gradually deliver moisturizing ingredients throughout the night.
-Hyaluronic Ac",$50.00 
SEPHORA COLLECTION,Face Masks,"-Lychee Extract of Natural Origin: Provides moisturizing properties and is the ultimate armor against dry skin.

Water, Butylene Glycol, Glycerin, Betaine, 1, 2-Hexanediol, Hydroxyacetophenone, Saccharide Isomerate, Xanthan Gum, 3-O-Ethyl Ascorbic Acid, P",$6.00 
GLAMGLOW,Face Masks,"Water, Silica, Kaolin, Cetyl Alcohol, C12-15 Alkyl Benzoate, Butylene Glycol, Niacinamide, Acetyl Glucosamine, Polymethylsilsesquioxane, Pumice, Glyceryl Stearate, Peg-100 Stearate, Pentylene Glycol, Diamond Powder, Rosmarinus Officinalis (Rosemary) Leaf Extract, Betula Alba Leaf Extract, Lactic Acid, Paeonia Suffruticosa (Peony) Root Extract, Tetrahexyldecyl Ascorbate, Betula Pendula Wood Powder, Salicylic Acid, Lilium Candidum (White Lily) Bulb Extract, Glycerin, Ribes Nigrum (Blackcurrent) Seed Oil, Solidago Virgaurea (Goldenrod) Extract, Octyldodecyl Oleate, Ethylhexylglycerin, Rosa Canina Flower Extract, Octyldodecanol, Camellia Sinensis Leaf Extract, Allantoin, Jasminum Officinale (Jasmine) Flower Extract, Tocopheryl Acetate, Octyldodecyl Stearoyl Stearate, Magnesium Aluminum Silicate, Xanthan Gum, Fragrance, Benzyl Alcohol, Alpha-Isomethyl Ionone, Benzyl Benzoate, Linalool, Amyl Cinnamal, Hexyl Cinnamal, Benzyl Salicylate, Limonene, Geraniol, Disodium Edta, Potassium Sorbate, Phenoxyethanol, Titanium Dioxide (Ci 77891)",$59.00 
DERMALOGICA,Face Masks,"-Vitamins A, C, E, F, and B5: Vitamin A helps reduce the appearance of wrinkles while also evening skin tone and texture; Vitamin C brightens and exfoliates to improves damage from age and sun spots; Vitamin E nourishes and protects skin from damage cause",$59.00 
KIEHL'S SINCE 1851,Face Masks,"-Calendula Petals and Extract: Soothes sensitive skin.
-Aloe Vera: Softens, soothes, and comforts skin.

Water, Glycerin, Aloe Barbadensis Leaf Juice, Butylene Glycol, Ppg-26-Buteth-26, Peg-40 Hydrogenated Castor Oil, Glyceryl Acrylate/Acrylic Acid Copoly",$45.00 
FARMACY,Face Masks,"-Coconut Water: Provides natural moisture to help skin hydrate for a fresher, more radiant, healthy looking glow.
-Hyaluronic Acid: Holds up to 1,000 times its weight in water. Delivers moisture and hydration.
-Cucumber Extract: Assists in reinforcing the",$6.00 
PETER THOMAS ROTH,Face Masks,"-24K Gold and Colloidal Gold: Give skin a more lifted and firmer appearance for a more youthful-looking eye area.
-Caffeine: Helps reduce the look of undereye puffiness.
-Hydrolyzed Collagen: Visibly diminishes fine lines, wrinkles, and crow's feet around",$75.00 
HERBIVORE,Face Masks,"-AHA Blend 20% (Sugar Glycolic, Tartaric, Malic Acids, and Bilberry Lactic Acid): Naturally derived AHAs effectively exfoliate, reducing the appearance of hyperpigmentation and visibly improving skin tone and texture.
- Willow Bark Extract BHA 5%: Natural",$58.00 
GLAMGLOW,Face Masks,"Water, Caprylic/Capric Triglyceride, Glycerin, Butylene Glycol, Cyclopentasiloxane, Glyceryl Polymethacrylate, Pyrus Malus (Apple) Fruit Extract, Peg-8, Glyceryl Stearate, Peg-100 Stearate, Cetearyl Alcohol, Sodium Polyacryloyldimethyl Taurate, Saccharide Isomerate, Caprylyl Glycol, Olea Europaea (Olive) Leaf Powder, Avena Sativa (Oat) Bran Extract, Hydrogenated Polydecene, Polysorbate 60, Cetyl Alcohol, Zingiber Officinale (Ginger) Root Extract, Menthoxypropanediol, Honey/Mel/Miel, Aminomethyl Propanol, Camellia Sinensis (Green Tea) Leaf Powder, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Tocopheryl Acetate, Allantoin, Kaolin, Hexylene Glycol, Buteth-3, Trideceth-10, Benzophenone-4, Sodium Benzotriazolyl Butylphenol Sulfonate, Cocos Nucifera (Coconut) Fruit Extract, Sodium Hyaluronate, Alcohol, Tris(Tetramethylhydroxypiperidinol) Citrate, Fragrance, Coumarin, Linalool, Tetrahexyldecyl Ascorbate, Disodium Edta, Sodium Benzoate, Potassium Sorbate, Phenoxyethanol",$59.00 
SEPHORA COLLECTION,Face Masks,"-Rose Extract of Natural Origin: Renowned for its antioxidant properties.

Water, Butylene Glycol, Glycerin, Betain, 1,2-Hexanediol, Hydroxyacetophenone, Saccharide Isomerate, Xanthan Gum, 3-O-Ethyl Ascorbic Acid, Glycosyl Trehalose, Parfum (Fragrance), P",$6.00 
DR. JART+,Face Masks,"-Vitamin C (Ascorbic Acid): Brightens the look of skin tone and texture.
-Sea Buckthorn Fruit Extract: Is rich in vitamins to help provide an antioxidant effect and brighten skin tone.
-Grapefruit Extract: Smooths, energizes, and revitalizes dull and dark",$12.00 
GLOW RECIPE,Face Masks,"Aqua/Water/Eau, Propanediol, Glycerin, Cetearyl Alcohol, Glyceryl Stearate, C9-12 Alkane, Caprylic/Capric Triglyceride, Kaolin, Persea Gratissima (Avocado) Oil, Polyisobutene, Sodium Lauroyl Glutamate, Stearic Acid, C13-15 Alkane, Platonia Insignis Seed Butter, Persea Gratissima (Avocado) Fruit Extract, Hyaluronic Acid, Sodium Hyaluronate, Squalane, Chamomilla Recutita (Matricaria) Flower Extract, Camellia Sinensis Leaf Extract, Saccharide Isomerate, Hexylresorcinol, Zingiber Officinale (Ginger) Root Extract, Oryza Sativa (Rice) Extract, Tocopheryl Acetate, Gluconolactone, Aloe Barbadensis Leaf Juice, Malachite Extract, Ethylhexyl Palmitate, Butylene Glycol, Sodium Chloride, Sodium Hydroxypropylsulfonate Laurylglucoside Crosspolymer, Maltodextrin, Hydrated Silica, Curcumin, Ethylhexylglycerin, Ppg-3 Benzyl Ether Myristate, Maltooligosyl Glucoside, Hydrogenated Starch Hydrolysate, Retinol, Spirulina Maxima Extract, Sodium Phosphate, Pei-10, Citric Acid, Sodium Citrate, Sodium Dilauramidoglutamide Lysine, Potassium Phosphate, Potassium Chloride, Silica Dimethyl Silylate, Arginine, Sodium Hydroxide, Caprylyl Glycol, Tocopherol, Rosmarinus Officinalis (Rosemary) Leaf Extract, Lavandula Angustifolia (Lavender) Flower/Leaf/Stem Extract, Hexylene Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Potassium Sorbate, Carthamus Tinctorius (Safflower) Seed Extract, Flavor/Aroma*, Pvp, Sodium Benzoate, Phenoxyethanol *Natural Fragrance.

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",$49.00 
