Name,Type,Ingredients,Price
THE ORDINARY,Cleansers,"Squalane, Water, Coco-Caprylate/Caprate, Glycerin, Sucrose Stearate, Ethyl Macadamiate, Caprylic/Capric Triglyceride, Sucrose Laurate, Hydrogenated Starch Hydrolysate, Sucrose Dilaurate, Sucrose Trilaurate, Polyacrylate Crosspolymer-6, Isoceteth-20, Sodium Polyacrylate, Tocopherol, Hydroxymethoxyphenyl Decanone, Trisodium Ethylenediamine Disuccinate, Malic Acid, Ethylhexylglycerin, Chlorphenesin.",$7.90 
PHILOSOPHY,Cleansers,#NAME?,$24.00 
DERMALOGICA,Cleansers,#NAME?,$59.00 
FIRST AID BEAUTY,Cleansers,"-Aloe: Helps calm, soothe, and nurture skin.
-Allantoin: Helps calm and soothe skin.
-Glycerin: A natural humectant that helps hydrate and smooth skin's appearance.

Water/Aqua/Eau, Sodium Cocoyl Isethionate, Glycerin, Stearic Acid, Hydrogenated Coconut A",$21.00 
WISHFUL,Cleansers,#NAME?,$39.00 
TATCHA,Cleansers,"-Japanese Rice Bran: Gently exfoliates to soften skin; rich in vitamins, minerals, antioxidants, and nourishing moisturizers.
-Rice and Papaya Enzymes (Papain): Help to release debris, polish away dull dead skin, and support healthy turnover to reveal fre",$65.00 
YOUTH TO THE PEOPLE,Cleansers,#NAME?,$54.00 
TATCHA,Cleansers,"-Japanese Camellia Oil (Tsubaki): Seals in moisture and nourishes with of Vitamins A, B, D and E and nourishing Omegas 3, 6, and 9; this featherweight botanical oil is richer in oleic acid than olive oil.
-Tatcha's signature Hadasei-3 (a trinity of anti-a",$48.00 
KATE SOMERVILLE,Cleansers,#NAME?,$24.00 
OLEHENRIKSEN,Cleansers,"-Green Fusion Complex™: Proprietary blend of potent active botanicals with natural antiseptic properties; helps absorb excess oil and refine pores.
-Neem Seed Oil
-Salicylic (BHA) + Glycolic and Lactic Acids (AHAs): Help lift and loosen dead skin cells ",$29.00 
OLEHENRIKSEN,Cleansers,#NAME?,$28.00 
ORIGINS,Cleansers,#NAME?,$24.00 
FRESH,Cleansers,#NAME?,$33.00 
CLINIQUE,Cleansers,"Water, Sodium Laureth Sulfate, Sodium Chloride, Cocamidopropyl Hydroxysultaine, Lauramidopropyl Betaine, Sodium Cocoyl Sarcosinate, Tea-Cocoyl Glutamate, Di-Ppg-2 Myreth-10 Adipate, Aloe Barbadensis Leaf Juice, Peg-120 Methyl Glucose Dioleate, Sucrose, Sodium Hyaluronate, Cetyl Triethylmonium Dimethicone Peg-8 Succinate, Butylene Glycol, Hexylene Glycol, Polyquaternium-7, Laureth-2, Caprylyl Glycol, Sodium Sulfate, Tocopheryl Acetate, Edta, Disodium Edta, Phenoxyethanol
Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",$18.50 
KIEHL'S SINCE 1851,Cleansers,#NAME?,$38.00 
SEPHORA COLLECTION,Cleansers,,$8.00 
REN CLEAN SKINCARE,Cleansers,"-Lactic C38: Diminishes discoloration.
-Azelaic Acid Precursor: Prevents the melanin production, promoting a balanced skin tone; addresses uneven skin tone and dark spots while improving skin quality for a brighter and more luminous appearance.

Water, So",$38.00 
KATE SOMERVILLE,Cleansers,"-Papaya, Pineapple, and Pumpkin Enzymes: Naturally enhance skin exfoliation without overdrying.
-Glycolic Acid and Lactic Acid: Refine the appearance of pores and help clear buildup on skin's surface.

Aqua/Water/Eau, Stearic Acid, Sodium Cocoyl Glycinate",$38.00 
CAUDALIE,Cleansers,"-Mint and Balm Mint Essential Oil: Provide astringent properties.
-Rose Extract: Tones.
-Rosemary Essential Oil: Strengthens and rejuvenates.
-Benzoin and Myrrh: Set makeup.
-Orange Flower Water: Softens and hydrates.

Water, Alcohol*, Citrus Aurantium Am",$18.00 
DRUNK ELEPHANT,Cleansers,"Slaai™ Makeup-Melting Butter Cleanser:
Ethylhexyl Palmitate, Caprylic/Capric Triglyceride, Carthamus Tinctorius (Safflower) Seed Oil, Lauryl Laurate, Polyglyceryl-3 Laurate, Polyhydroxystearic Acid, Helianthus Annuus (Sunflower) Seed Wax, Polyglyceryl-10 Laurate, Sclerocarya Birrea Seed Oil, Euterpe Oleracea Fruit Oil, Actinidia Chinensis (Kiwi) Fruit Extract, Fragaria Ananassa (Strawberry) Seed Extract, Vaccinium Macrocarpon (Cranberry) Seed Oil, Borago Officinalis Seed Oil, Adansonia Digitata Seed Oil, Polyglyceryl-2 Caprate, Citrullus Lanatus (Watermelon) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Schinziophyton Rautanenii Kernel Oil, Vaccinium Angustifolium (Blueberry) Fruit Extract, Ximenia Americana Seed Oil, Tocopherol, Glycerin.

Bamboo Booster™:
Bambusa Arundinacea Stem Extract, Charcoal Powder, Microcrystalline Cellulose, Mannitol, Zea Mays (Corn) Starch, Potassium Sorbate.

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats , Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles As defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",$34.00 
CLINIQUE,Cleansers,"Ethylhexyl Palmitate , Carthamus Tinctorius (Safflower) Seed Oil , Caprylic/Capric Triglyceride, Sorbeth-30 Tetraoleate , Polyethylene , Peg-5 Glyceryl Triisostearate , Water , Tocopherol , Phenoxyethanol.",$30.00 
OLEHENRIKSEN,Cleansers,"-Volcanic Sand: Exfoliates the skin for smoother texture.
-Green Fusion Complex™ (Green Tea, Eucalyptus, Algae (Kelp), and Irish Moss Extracts): Contain natural antiseptic properties to help absorb excess oil and refine pores.
-Neem Seed Oil: A legendar",$28.00 
DERMALOGICA,Cleansers,#NAME?,$39.00 
OLEHENRIKSEN,Cleansers,"-Walnut Powder: Gently exfoliates to reveal fresher, softer skin.
-Ginseng Extract: Helps purify and revive.

Water, Cocamidopropyl Hydroxysultaine, Juglans Regia (Walnut) Shell Powder, Glyceryl Stearate SE, Sodium Lauroyl Sarcosinate, Prunus Armenaica (A",$28.00 
FIRST AID BEAUTY,Cleansers,"-Colloidal Oatmeal: Helps soothe and protect dry or distressed skin.
-Wild Oats: Help soothe and relieve irritated skin.
-Propolis Extract: A honey derivative that helps nurture and renew skin's appearance.

Water, Glycerin, Glycereth-26, Squalane, Sorbit",$22.00 
YOUTH TO THE PEOPLE,Cleansers,"-Lactic Acid 8% and Glycolic Acid 3%: Revitalize dull, dry skin, smoothing skin texture and minimizing the appearance of pores.
-Kombucha Black Tea Ferment: Works as a prebiotic to enhance the skin’s natural microbiome.
-Pichia lysate ferment (Tree Bark",$38.00 
THE INKEY LIST,Cleansers,"-Salicylic Acid 2%: Helps to gently exfoliate the skin and unclogs the pores by dislodging dead skin cells.
-Zinc Compound: Helps reduce excess sebum and has anti-inflammatory properties.
-Allantoin 0.5%: Helps soothe irritation and stimulates growth of h",$9.99 
ORIGINS,Cleansers,"-Reishi: Known as the “Mushroom of Immortality,” Reishi has been used in Traditional Chinese Medicine to help improve overall health and promote longevity. It’s also known to possess powerful skin-soothing properties to help calm, comfort, and reduc",$35.00 
KORRES,Cleansers,#NAME?,$26.00 
LANCÔME,Cleansers,"Aqua/Water, Cyclopentasiloxane, Isohexadecane, Sodium Chloride, Poloxamer 184, Hexylene Glycol, Dipotassium Phosphate, Benzyl Alcohol, Potassium Phosphate, Quaternium-15, Benzalkonium Chloride, Parfum / Fragrance, Citronellol, Geraniol.",$30.00 
SHISEIDO,Cleansers,,$12.00 
FRESH,Cleansers,"Sucrose, Propylene Glycol Dicaprylate/Dicaprate, PEG-7 Glyceryl Cocoate, Stearalkonium Hectorite, Fragaria Vesca (Strawberry) Fruit Extract, Euphorbia Cerifera (Candelilla) Wax, Mangifera Indica (Mango) Seed Butter, Propylene Carbonate, Parfum (Fragrance), Limonene, Limnanthes Alba (Meadowfoam) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Prunus Domestica Seed Oil, Fructose, Glucose, Tocopheryl Acetate, Caramel, Glycerin, Aqua (Water), Potassium Sorbate, BHT, Citral.

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",$62.00 
CAUDALIE,Cleansers,#NAME?,$28.00 
OLEHENRIKSEN,Cleansers,"-Green Fusion Complex™: Proprietary blend of potent active botanicals with natural antiseptic properties; helps absorb excess oil and refine pores.
-Neem Seed Oil
-Glycolic and lactic acids (AHAs): Help lift and loosen dead skin cells that clog pores.

",$26.00 
KIEHL'S SINCE 1851,Cleansers,#NAME?,$32.00 
KIEHL'S SINCE 1851,Cleansers,"Water, Sodium Laureth Sulfate, Decyl Glucoside, Glycerin, Cocamidopropyl Betaine, Disodium Cocoamphodiacetate, Acrylates Copolymer, PEG-200 Hydrogenated Glyceryl Palmate, Lauryl Glucoside, Sodium Chloride, Pentylene Glycol, Triethanolamine, Phenoxyethanol, PEG-7 Glyceryl Cocoate, Distearyl Ether, Behenyl Alcohol, Methylparaben, Laureth-2, Propylparaben, Sodium Methylparaben, Squalane, Prunus Amygdalus Dulcis Oil/Sweet Almond Oil, Prunus Armeniaca Kernel Oil/Apricot Kernel Oil, Tocopherol, Ascorbyl Glucoside, Persea Gratissima Oil/Avocado Oil, Sodium Hydroxide, Citric Acid.",$21.00 
GLOW RECIPE,Cleansers,"-Blueberry Extract: Packed with antioxidants to protect skin against environmental stressors.
-Hyaluronic Acid: Hydrates skin by holding up to 1,000 times its weight in moisture.
-AHA: A blend of lactic acid (derived from plants) and glycolic acid that ge",$34.00 
CLINIQUE,Cleansers,"Water , Alcohol Denat. , Glycerin , Hamamelis Virginiana (Witch Hazel) , Menthol , Acetyl Glucosamine , Trehalose , Sodium Hyaluronate , Butylene Glycol , Sodium Bicarbonate , Red 6 (Ci 15850) , Red 33 (Ci 17200) , Ext. Violet 2 (Ci 60730)",$17.00 
GOOP,Cleansers,"-Micro-exfoliating Minerals (Quartz, Garnet, Alumina, Silica): Instantly polish and buff deal, dull, dry skin.
-Glycolic Acid (AHA): The gold standard in chemical exfoliation to remove dead skin and support natural cell turnover.
-Australian Kakadu Plum: ",$125.00 
FARMACY,Cleansers,#NAME?,$28.00 
BIOSSANCE,Cleansers,"-Bilberry, Sugar Cane, and Sugar Maple Extracts: Naturally-derived AHAs.
-Glycolic, Lactic, Tartaric, Malic Acids (AHA): AHAs that help Helps shed dead skin cells, support natural cell turnover and refine the skin's surface.
-Squalane: Hydrates while lock",$68.00 
THE INKEY LIST,Cleansers,"-Glycolic Acid 10%: Provides a deep exfoliation of dead skin cells.
-Witch Hazel 5%: Helps to control excess oil.

Water, Glycolic Acid, Propanediol, Hamamelis Virginiana (Witch Hazel) Water, Sodium Hydroxide, Butylene Glycol, Phenoxyethanol, Alcohol, PPG",$10.99 
CLINIQUE,Cleansers,"Water , Isohexadecane , Dimethicone , Cyclopentasiloxane , Trisiloxane , Peg-4 Dilaurate , Lauryl Methyl Gluceth-10 Hydroxypropyldimonium Chloride , Hexylene Glycol , Sodium Chloride , Potassium Phosphate , Dipotassium Phosphate , Dipotassium Edta , Phenoxyethanol
Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",$19.50 
AMOREPACIFIC,Cleansers,#NAME?,$60.00 
FRESH,Cleansers,"Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",$44.00 
MURAD,Cleansers,#NAME?,$32.00 
CAUDALIE,Cleansers,"-Natural Salicylic Acid: Unclogs and tightens the appearance of pores.
-Organic Essential Oil Complex and Grape Seed Polyphenols: Antibacterial, antioxidant; reduces the look of blemishes.
-Grape Water: Soothes and visibly reduces redness.

Water, Vitis V",$28.00 
LANCÔME,Cleansers,"Crème Mousse Confort:
Water, Glycerin, Sodium Cocoyl Glycinate, Myristic Acid, Montmorillonite, Butylene Glycol, Palmitic Acid, Glycol Stearate, Lauric Acid, Stearic Acid, Ci 77891 / Titanium Dioxide, Potassium Hydroxide, Fragrance, Shea Butter, Phenoxyethanol, Sodium Hydroxide, Sodium Hexametaphosphate, Butylparaben, Salicylic Acid, Tetrasodium Edta, Propylparaben, P-Anisic Acid, O-Cymen-5-Ol, Rosa Canina Fruit Oil, Hexyl Cinnamal, Tocopherol, Propylene Glycol, Alpha-Isomethyl Ionone, Geraniol, Farnesol, Rosa Gallica Extract / Rosa Gallica Flower Extract, Ci 17200 / Red 33, Nelumbium Speciosum Extract / Nelumbium Speciosum Flower Extract, Ci 14700 / Red 4.

Tonique Confort:
Water, Butylene Glycol, Glycerin, Cyclopentasiloxane, Phenoxyethanol, Isopropyl Palmitate, Peg-60 Hydrogenated Castor Oil, Triethanolamine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Methylparaben, Honey, Mannitol, Fragrance, Tocopheryl Acetate, Propylparaben, Sodium Hyaluronate, Cyclodextrin, Prunus Amygdalus Dulcis Protein/ Sweet Almond Protein, Hexyl Cinnamal, Faex/ Yeast Extract, Alpha-Isomethyl Ionone, Disodium Succinate, Ci 14700/ Red 4.",$41.00 
CLINIQUE,Cleansers,"Water , Glyceryl Stearate , Polyethylene , Hexylene Glycol , Disodium Cocoamphodiacetate , Disodium Oleamido Mipa-Sulfosuccinate , Magnesium Aluminum Silicate , Salicylic Acid , Menthol , Stearamidoethyl Diethylamine , Oleamide Mipa , Trisodium Sulfosuccinate , Sodium Sulfate , Phenoxyethanol , Methylisothiazolinone , Titanium Dioxide (Ci 77891) Rds Product Name: Spf30 Face Cream Division: Cl (Clinique)Water , Ethylhexyl Salicylate , Methyl Trimethicone , Homosalate , Butylene Glycol , Benzophenone-3 (Oxybenzone) , Butyloctyl Salicylate , Neopentyl Glycol Diheptanoate , Butyl Methoxydibenzoylmethane , Butyrospermum Parkii (Shea Butter) , Octocrylene , Peg-100 Stearate , Silica , Dipentaerythrityl Tri-Polyhydroxystearate , Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone , Dimethicone , Glyceryl Stearate , Laurdimonium Hydroxypropyl Hydrolyzed Soy Protein , Rosmarinus Officinalis (Rosemary) Extract , Perilla Ocymoides Leaf Extract , Plankton Extract , Caffeine , Potassium Cetyl Phosphate , Sucrose , Styrene/Acrylates Copolymer , C30-38 Olefin/Isopropyl Maleate/Ma Copolymer , Cetyl Alcohol , Vp/Eicosene Copolymer , Ethylhexylglycerin , Ammonium Acryloyldimethyltaurate/Vp Copolymer , Peg-8 Laurate , Sodium Rna , Lecithin , Propyl Gallate , Arginine Ferulate , Tocopheryl Acetate , Caprylyl Glycol , Ascorbyl Tocopheryl Maleate , Stearic Acid , Xanthan Gum , Hexylene Glycol , Nordihydroguaiaretic Acid , Disodium Edta , Phenoxyethanol , Mica , Sodium Dehydroacetate Rds Product Name: Spf50 Body Cream Division: Cl (Clinique)Water , Benzophenone-3 (Oxybenzone) , Ethylhexyl Salicylate , Methyl Trimethicone , Homosalate , Butylene Glycol , Butyloctyl Salicylate , Neopentyl Glycol Diheptanoate , Butyl Methoxydibenzoylmethane , Butyrospermum Parkii (Shea Butter) , Octocrylene , Peg-100 Stearate , Silica , Dipentaerythrityl Tri-Polyhydroxystearate , Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone , Dimethicone , Glyceryl Stearate , Laurdimonium Hydroxypropyl Hydrolyzed Soy Protein , Rosmarinus Officinalis (Rosemary) Extract , Perilla Ocymoides Leaf Extract , Caffeine , Potassium Cetyl Phosphate , Sucrose , Styrene/Acrylates Copolymer , C30-38 Olefin/Isopropyl Maleate/Ma Copolymer , Cetyl Alcohol , Vp/Eicosene Copolymer , Ethylhexylglycerin , Ammonium Acryloyldimethyltaurate/Vp Copolymer , Peg-8 Laurate , Sodium Rna , Lecithin , Propyl Gallate , Arginine Ferulate , Tocopheryl Acetate , Caprylyl Glycol , Ascorbyl Tocopheryl Maleate , Stearic Acid , Xanthan Gum , Hexylene Glycol , Nordihydroguaiaretic Acid , Disodium Edta , Phenoxyethanol , Mica , Sodium Dehydroacetate",$23.00 
SK-II,Cleansers,"-Pitera™: A bio-ingredient rich in vitamins, organic acids, minerals, and amino acids that work together to support skin’s natural cell renewal process.
-AHA (Alpha-hydroxy acids): A group of natural acids that gently remove dry and dead skin cells, u",$76.00 
CLINIQUE,Cleansers,"-Salicylic Acid and Acetyl Glucosamine: Help clear dead skin cells that can contribute to clogged pores.
-Lamincaria Sacharina Extract: Helps reduce shine and addresses future breakouts.
-Silica: Mattifies skin.

Water , Alcohol Denat., Nylon-12, Butylene",$17.00 
CAUDALIE,Cleansers,#NAME?,$28.00 
THE INKEY LIST,Cleansers,"-Three-Percent Oat Kernel Oil: Gently supports skin’s moisture barrier.
-One-Percent Colloidal Oatmeal: Helps to reduce the appearance of redness and soothe irritation.

Prunus Amygdalus Dulcis (Sweet Almond) Oil, Cetearyl Alcohol, PEG-6 Caprylic/Capric",$9.99 
CAUDALIE,Cleansers,"-Vinolevure: Deeply moisturizes, retains water, and improves skin's protective barrier.

Water, Butylene Glycol, Peg-40 Hydrogenated Castor Oil*, Sodium Carboxymethyl Betaglucan (Vinolevure), Methylpropanediol, Sodium Benzoate, Fragrance, Caprylyl Glycol,",$28.00 
GLAMGLOW,Cleansers,"Water, Silica, Kaolin, Cetyl Alcohol, C12-15 Alkyl Benzoate, Butylene Glycol, Niacinamide, Acetyl Glucosamine, Polymethylsilsesquioxane, Pumice, Glyceryl Stearate, Peg-100 Stearate, Pentylene Glycol, Diamond Powder, Rosmarinus Officinalis (Rosemary) Leaf Extract, Betula Alba Leaf Extract, Lactic Acid, Paeonia Suffruticosa (Peony) Root Extract, Tetrahexyldecyl Ascorbate, Betula Pendula Wood Powder, Salicylic Acid, Lilium Candidum (White Lily) Bulb Extract, Glycerin, Ribes Nigrum (Blackcurrent) Seed Oil, Solidago Virgaurea (Goldenrod) Extract, Octyldodecyl Oleate, Ethylhexylglycerin, Rosa Canina Flower Extract, Octyldodecanol, Camellia Sinensis Leaf Extract, Allantoin, Jasminum Officinale (Jasmine) Flower Extract, Tocopheryl Acetate, Octyldodecyl Stearoyl Stearate, Magnesium Aluminum Silicate, Xanthan Gum, Fragrance, Benzyl Alcohol, Alpha-Isomethyl Ionone, Benzyl Benzoate, Linalool, Amyl Cinnamal, Hexyl Cinnamal, Benzyl Salicylate, Limonene, Geraniol, Disodium Edta, Potassium Sorbate, Phenoxyethanol, Titanium Dioxide (Ci 77891)",$59.00 
